user_id,time,latitude,longitude,coordinates,count,plastic,slippers,plastic wrapper,plastic spoon,plastic bag,thermocol,plastic plate,plastic bottle,plastic cup,static plastic,moving plastic,plastic_area,YoloV8-score,YoloNAS-score,FasterRCNN-score,DETR-score,Ensemble-score,city,state,region,weather,temperature
7d0b2f4663964b129d6c6a71bf24e995,2023-05-19,9.484015598963328,77.2282973313141,"[[859, 418, 921, 513], [817, 578, 838, 659], [693, 138, 725, 198], [599, 118, 673, 186], [813, 317, 901, 334], [597, 853, 687, 936]]",6,0,6,0,0,0,0,0,0,0,2,4,23509,84.18,72.58,82.71,98.42,91.1,Idukki,Kerala,south-west,clouds,19.9
b7f3aa947ce64d849cfc305a21835b06,2023-03-22,13.331129198298315,80.33037849032729,"[[1531, 609, 1614, 682], [103, 63, 196, 113], [1880, 976, 1961, 990], [1291, 197, 1386, 270], [1387, 401, 1440, 444], [1326, 203, 1363, 270], [654, 458, 686, 471]]",7,0,7,0,0,0,0,0,0,0,0,7,23952,89.34,92.48,76.38,81.54,95.53,Thiruvallur,Tamil Nadu,south-east,clouds,28.9
ec3dae62dc4442eda5aaacd5eb4d427e,2023-03-16,27.803574708005108,94.45004517358456,"[[1536, 429, 1568, 471], [1594, 1066, 1641, 1097], [450, 547, 521, 642], [381, 152, 442, 179], [710, 632, 740, 720], [856, 756, 887, 773], [421, 394, 495, 454], [410, 67, 506, 116], [963, 316, 1031, 407], [384, 367, 462, 421], [1056, 466, 1078, 531], [1827, 765, 1838, 858], [96, 80, 132, 127], [512, 711, 580, 805], [92, 628, 129, 685], [774, 533, 802, 609], [1568, 861, 1585, 930], [1066, 419, 1085, 453], [1282, 864, 1346, 880], [1257, 202, 1293, 267], [570, 47, 666, 138], [1294, 213, 1350, 269], [1552, 13, 1613, 50], [724, 1051, 742, 1120], [729, 528, 754, 577], [788, 893, 846, 982], [1194, 24, 1249, 102], [138, 305, 238, 318], [492, 439, 584, 507]]",29,3,0,5,0,4,7,4,6,0,26,3,87465,75.49,77.18,87.59,89.04,88.89,Lower Siang,Arunachal Pradesh,north-east,clear,21.1
55c93394814a4b8f9628ea9e9bf813dc,2023-03-24,26.088923643684204,83.42298955459735,"[[988, 994, 1007, 1020], [345, 789, 412, 849], [1159, 956, 1213, 1055], [10, 669, 90, 698], [412, 16, 443, 32], [1516, 999, 1586, 1028], [1500, 574, 1544, 635], [943, 238, 1036, 248]]",8,3,2,0,0,1,2,0,0,0,0,8,18320,97.65,72.92,98.97,93.51,99.2312739902381,Mau,Uttar Pradesh,north-east,clouds,31.0
807d0d1e398e46d48e936c9c9db06e37,2023-06-22,16.595922715385512,75.97831416952427,"[[653, 1054, 700, 1089], [1461, 362, 1486, 458], [1489, 1028, 1499, 1075], [962, 276, 1014, 371], [1045, 164, 1065, 259], [490, 986, 542, 1034], [692, 615, 787, 712], [1863, 219, 1913, 302], [1005, 1057, 1064, 1122], [1247, 502, 1317, 566], [106, 852, 153, 936], [646, 573, 727, 640], [408, 486, 457, 521], [705, 613, 756, 675], [1506, 450, 1579, 482], [513, 190, 582, 246], [1300, 311, 1360, 380], [338, 830, 428, 842], [923, 538, 1008, 615], [519, 259, 598, 300], [954, 76, 1044, 152], [1553, 128, 1595, 196], [1118, 1011, 1169, 1092], [1268, 991, 1326, 1045], [283, 952, 383, 1012], [1339, 313, 1392, 379], [93, 409, 160, 484], [938, 750, 1024, 789], [506, 214, 595, 235], [367, 520, 461, 604], [756, 5, 794, 105], [1021, 884, 1060, 943], [1794, 273, 1811, 316], [1189, 676, 1279, 754], [886, 672, 929, 725], [1572, 285, 1670, 368], [1450, 224, 1533, 293], [598, 463, 616, 559]]",38,8,1,8,5,0,0,8,3,5,15,23,147308,95.83,69.65,80.37,79.55,92.08,Vijayapura,Karnataka,south-west,clouds,32.0
e75c0b8ad596477584fb8b28f6f292b7,2023-04-11,18.948895152387255,79.36564108149678,"[[1363, 428, 1462, 446], [339, 351, 352, 368], [1777, 1064, 1827, 1122], [1833, 31, 1900, 43], [897, 219, 960, 303], [1408, 611, 1501, 673], [1545, 776, 1565, 863], [1093, 672, 1157, 769], [1394, 378, 1435, 400], [0, 704, 35, 792], [1188, 961, 1216, 997], [1622, 1060, 1666, 1087]]",12,5,0,0,0,0,6,0,1,0,12,0,30891,85.82,70.63,93.03,85.26,90.31,Mancherial,Telangana,south-east,clouds,26.4
907e094104b3436cb0ac98e4438a5c1d,2023-03-13,19.053691659311667,80.55030919539345,"[[946, 183, 1017, 218]]",1,0,0,0,1,0,0,0,0,0,0,1,2485,83.94,88.6,80.35,88.72,94.59,Bijapur,Chhattisgarh,south-east,clouds,25.6
d20e967d73c743d78b25a43a2e2faea5,2023-04-22,16.22698468216693,80.06004926266525,"[[1409, 1072, 1436, 1122], [472, 754, 571, 772], [1461, 139, 1548, 211], [295, 1067, 371, 1107], [1551, 228, 1643, 254], [1070, 618, 1164, 709], [769, 583, 859, 602], [1187, 993, 1224, 1039], [485, 107, 584, 204], [1277, 356, 1357, 447], [777, 81, 805, 117], [1011, 946, 1086, 994], [1545, 1069, 1618, 1110], [1699, 610, 1737, 690], [5, 940, 104, 1012], [796, 399, 867, 419], [1284, 363, 1343, 394], [360, 529, 437, 572], [498, 681, 594, 776], [1362, 562, 1379, 655], [205, 984, 274, 1014], [529, 81, 571, 163], [1274, 337, 1347, 380], [1545, 298, 1576, 337], [102, 846, 184, 898], [913, 539, 935, 581], [1327, 115, 1411, 133], [122, 22, 134, 36], [1840, 756, 1854, 769], [1013, 593, 1102, 667], [1566, 816, 1577, 886]]",31,2,6,3,0,2,0,7,3,8,23,8,102975,94.22,78.31,71.83,68.53,87.32,Narasaraopet,Andhra Pradesh,south-east,clouds,30.2
b25c0773aa1b494abc75d0d10c24b1a3,2023-06-14,26.89688697572503,75.77810241455472,"[[1676, 495, 1736, 589], [1051, 84, 1121, 153], [281, 189, 325, 225], [657, 582, 756, 619], [364, 936, 405, 950], [1139, 449, 1167, 523], [967, 116, 994, 149], [785, 295, 876, 350], [1725, 1012, 1752, 1073], [1599, 173, 1627, 242], [282, 406, 355, 471], [1066, 1019, 1098, 1040], [747, 649, 792, 712], [265, 129, 339, 225]]",14,0,0,1,6,0,1,0,0,6,14,0,43194,80.32,98.04,82.02,81.78,92.56,Jaipur,Rajasthan,north-west,haze,31.8
f8f79187eb3844bfb997343e2c0a5722,2023-07-18,26.78071484688602,81.66040859303746,"[[1471, 262, 1520, 331], [1403, 271, 1493, 369], [557, 103, 617, 167], [1208, 120, 1294, 130], [294, 901, 310, 918], [1589, 67, 1660, 97], [1447, 551, 1516, 650], [1791, 940, 1849, 1013]]",8,0,0,0,0,0,0,8,0,0,2,6,30368,98.43,81.78,73.29,92.31,93.68,Ayodhya,Uttar Pradesh,north-east,clouds,30.1
